,approximate_spotted_by,health,spotted,shots_fired,FIRE,velocity,game_time,tick,steamid,name
5,[],100,False,0,False,,1077.375,2200,76561198995880877,zont1x
6,[],100,False,0,False,,1077.375,2200,76561198201620490,broky
15,[],100,False,0,False,,1077.3906,2201,76561198995880877,zont1x
16,[],100,False,0,False,,1077.3906,2201,76561198201620490,broky
25,[],100,False,0,False,231.66443,1077.4062,2202,76561198995880877,zont1x
26,[],100,False,0,False,197.22467,1077.4062,2202,76561198201620490,broky
35,[],100,False,0,False,233.19609,1077.4219,2203,76561198995880877,zont1x
36,[],100,False,0,False,197.22467,1077.4219,2203,76561198201620490,broky
45,[],100,False,0,False,234.68199,1077.4375,2204,76561198995880877,zont1x
46,[],100,False,0,False,197.22467,1077.4375,2204,76561198201620490,broky
55,[],100,False,0,False,236.10503,1077.4531,2205,76561198995880877,zont1x
56,[],100,False,0,False,197.22467,1077.4531,2205,76561198201620490,broky
65,[],100,False,0,False,237.43967,1077.4688,2206,76561198995880877,zont1x
66,[],100,False,0,False,197.22467,1077.4688,2206,76561198201620490,broky
75,[],100,False,0,False,232.84198,1077.4844,2207,76561198995880877,zont1x
76,[],100,False,0,False,197.22467,1077.4844,2207,76561198201620490,broky
85,[],100,False,0,False,228.68002,1077.5,2208,76561198995880877,zont1x
86,[],100,False,0,False,197.22467,1077.5,2208,76561198201620490,broky
95,[],100,False,0,False,225.56859,1077.5156,2209,76561198995880877,zont1x
96,[],100,False,0,False,197.22467,1077.5156,2209,76561198201620490,broky
105,[],100,False,0,False,223.76746,1077.5312,2210,76561198995880877,zont1x
106,[],100,False,0,False,197.22467,1077.5312,2210,76561198201620490,broky
115,[],100,False,0,False,222.80862,1077.5469,2211,76561198995880877,zont1x
116,[],100,False,0,False,197.22467,1077.5469,2211,76561198201620490,broky
125,[],100,False,0,False,222.50725,1077.5625,2212,76561198995880877,zont1x
126,[],100,False,0,False,197.22467,1077.5625,2212,76561198201620490,broky
135,[],100,False,0,False,222.7089,1077.5781,2213,76561198995880877,zont1x
136,[],100,False,0,False,197.22467,1077.5781,2213,76561198201620490,broky
145,[],100,False,0,False,223.28,1077.5938,2214,76561198995880877,zont1x
